respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.1736111111111111,0.354014598540146
26708,0.017361111111111112,0.032846715328467155
26709,0.34375,0.7956204379562044
26710,0.6215277777777778,0.8759124087591241
26711,0.34375,0.5036496350364964
26712,0.6458333333333334,0.8613138686131386
26713,0.3993055555555556,0.6642335766423357
26714,0.21180555555555555,0.12408759124087591
26715,0.010416666666666666,0.05474452554744526
26716,0.20833333333333334,0.8284671532846716
26717,0.041666666666666664,0.5036496350364964
26718,0.3854166666666667,0.5802919708029197
26719,0.1597222222222222,0.8284671532846716
26720,0.0,0.22262773722627738
26721,0.40625,0.5766423357664233
26722,0.09375,0.12773722627737227
26723,0.7152777777777778,0.8613138686131386
26724,0.024305555555555556,0.7700729927007299
26725,0.024305555555555556,0.08759124087591241
26726,0.06597222222222222,0.12408759124087591
26727,0.4583333333333333,0.8138686131386861
26728,0.40625,0.5766423357664233
26729,0.017361111111111112,0.21897810218978103
26730,0.03125,0.17518248175182483
26731,0.04513888888888889,0.3759124087591241
26732,0.1597222222222222,0.20802919708029197
26733,0.9097222222222222,0.9306569343065694
26734,0.6736111111111112,0.5474452554744526
26735,0.0798611111111111,0.28832116788321166
26736,0.0798611111111111,0.2116788321167883
26737,0.027777777777777776,0.13503649635036497
26738,0.78125,0.843065693430657
26739,0.0625,0.16058394160583941
26740,0.2916666666666667,0.2116788321167883
26741,0.11458333333333333,0.8138686131386861
26742,0.1076388888888889,0.3722627737226277
26743,0.0763888888888889,0.4197080291970803
26744,0.06944444444444445,0.6423357664233577
26745,0.18055555555555555,0.7226277372262774
26746,0.19444444444444445,0.20802919708029197
26747,0.04513888888888889,0.12408759124087591
26748,0.125,0.2116788321167883
26749,0.10069444444444445,0.6715328467153284
26750,0.4166666666666667,0.9197080291970803
26751,0.4618055555555556,0.6824817518248175
26752,0.08680555555555555,0.17883211678832117
26753,0.2152777777777778,0.4343065693430657
26754,0.20833333333333334,0.4781021897810219
26755,0.1527777777777778,0.4744525547445255
26756,0.05555555555555555,0.10218978102189781
26757,0.3402777777777778,0.5437956204379562
26758,0.46875,0.7518248175182481
26759,0.013888888888888888,0.11313868613138686
